Polymer,SMILES,P_MW,P_wt%,surface tension (mN/m),pore maker,pore maker molecular weight (Da),pore maker wt% (pore maker to total weight),additive,additive wt% (additive to polymer),organic solvent,solubility parameter (MPa1/2),TMP (bar),organic compound,oraganic compound concentration (mg/L),organic compound size (Da),foulant,foulant concentration (mg/L),water permeability (LMH/bar),organic compound removal (%),flux decline ratio (%),flux recovery ratio (%) ,reversible fouling ratio (%),irreversible fouling ratio(%)
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,65000,17,46.6,PEG,2000,2,TiO2 NPs-2,3,DMAc,22.7,1,BSA,100,67000,BSA,100,88,96,50.2,75.5,25.1,24.5
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,65000,18,46.6,PEG,2000,2,HEMA-TiO2,2,DMAc,22.7,1,BSA,100,67000,BSA,100,138,97.5,31.9,84,16.1,16
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,65000,17,46.6,PEG,2000,2,HEMA-TiO2,3,DMAc,22.7,1,BSA,100,67000,BSA,100,120,99,47.5,78,22.3,22
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,20,46.6,PEG,2000,2,TiO2 NPs-2,0,DMAc,22.7,1,EPS,10,10000,EPS,10,53,89,34,68,31.8,32
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,18,46.6,PEG,2000,2,TiO2 NPs-2,2,DMAc,22.7,1,EPS,10,10000,EPS,10,126,89,16.7,81,19.5,19
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,17,46.6,PEG,2000,2,TiO2 NPs-2,3,DMAc,22.7,1,EPS,10,10000,EPS,10,93,88,19.4,78,21.7,22
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,18,46.6,PEG,2000,2,HEMA-TiO2,2,DMAc,22.7,1,EPS,10,10000,EPS,10,138,87,27.5,82,18.3,18
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,17,46.6,PEG,2000,2,HEMA-TiO2,3,DMAc,22.7,1,EPS,10,10000,EPS,10,110,84,14.5,81,19.6,19
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,GO-2,0.02,NMP,22.9,1,BSA,500,799.81,BSA,500,181.1,97,63.5,70,6.5,30
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,GO-2,0.05,NMP,22.9,1,BSA,500,66000,BSA,500,166.5,97.5,77.5,85,7.5,15
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,GO-2,0.15,NMP,22.9,1,BSA,500,66000,BSA,500,132.8,98,76.1,83,6.5,17
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,PDA-rGO,0.02,NMP,22.9,1,BSA,500,799.81,BSA,500,241.5,98.5,76.5,83.9,13,16.1
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,PDA-rGO,0.05,NMP,22.9,1,BSA,500,66000,BSA,500,291.9,98.5,70.9,84.2,11,15.8
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,PDA-rGO,0.15,NMP,22.9,1,BSA,500,66000,BSA,500,212.9,99,73.2,78,12,22
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,GO-2,0,NMP,22.9,1,MB,25,66000,BSA,500,182.9,88.2,61,67.2,6.2,32.8
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,GO-2,0.1,NMP,22.9,1,MB,25,799.81,BSA,500,164.5,90.6,65,86.9,10.8,13.1
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,PDA-rGO,0.1,NMP,22.9,1,MB,25,66000,BSA,500,326.5,87,66,80,15,20
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,GO-2,0,NMP,22.9,1,MB,25,799.81,BSA,500,182.9,88.2,79.5,87,7.5,13
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,GO-2,0.02,NMP,22.9,1,HA,25,,BSA,500,181.1,98,63.5,70,6.5,30
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,GO-2,0.05,NMP,22.9,1,HA,25,,BSA,500,166.5,98.5,77.5,85,7.5,15
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,GO-2,0.15,NMP,22.9,1,HA,25,,BSA,500,132.8,98.5,76.1,83,6.5,17
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,PDA-rGO,0.02,NMP,22.9,1,HA,25,,BSA,500,241.5,98.5,76.5,83.9,13,16.1
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,PDA-rGO,0.05,NMP,22.9,1,HA,25,,BSA,500,291.9,98.5,70.9,84.2,11,15.8
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,PDA-rGO,0.15,NMP,22.9,1,HA,25,,BSA,500,212.9,99,73.2,78,12,22
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,GO-2,0,NMP,22.9,1,Organge Ⅱ,25,350.32,BSA,500,182.9,32,61,67.2,6.2,32.8
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,GO-2,0.1,NMP,22.9,1,Organge Ⅱ,25,350.32,BSA,500,164.5,31,65,86.9,10.8,13.1
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,PDA-rGO,0.1,NMP,22.9,1,Organge Ⅱ,25,350.32,BSA,500,326.5,36,66,80,15,20
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,GO-2,0,NMP,22.9,1,Safranine O,25,350.88,BSA,500,182.9,18,61,67.2,6.2,32.8
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,GO-2,0.1,NMP,22.9,1,Safranine O,25,350.88,BSA,500,164.5,21,65,86.9,10.8,13.1
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,35000,17,46.6,PVP,,3,PDA-rGO,0.1,NMP,22.9,1,Safranine O,25,350.88,BSA,500,326.5,22.5,66,80,15,20
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,15,46.6,PEG,400,10,none,0,NMP,22.9,1,BSA,1000,66000,BSA,1000,102.7,91,62.5,68.5,6,31.5
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,15,46.6,PEG,400,10,GO-3,1,NMP,22.9,1,BSA,1000,66000,BSA,1000,215.7,93,56.9,84.5,27.6,15.5
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,15,46.6,PEG,400,10,GO-3,2,NMP,22.9,1,BSA,1000,66000,BSA,1000,109.5,87.9,64.7,84.7,20,15.3
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,15,46.6,PEG,400,10,GO-7,2,NMP,22.9,1,BSA,1000,66000,BSA,1000,352.2,88.6,40.9,71.9,31,28.1
Polyvinylidene fluoride,*CC(*)(F)F,,15,29.2,PVP,40000,1,GO-4,0,NMP,22.9,1,BSA,500,66000,BSA,500,290,90,10.3,50.3,40,49.7
Polyvinylidene fluoride,*CC(*)(F)F,,15,29.2,PVP,40000,1,GO-4,0.8,NMP,22.9,1,BSA,500,66000,BSA,500,460,95,15.4,75.4,60,24.6
Polyvinylidene fluoride,*CC(*)(F)F,,15,29.2,PVP,40000,1,sulfonated-GO,0.4,NMP,22.9,1,BSA,500,66000,BSA,500,650,95.5,15.06,80.06,65,19.94
Polyvinylidene fluoride,*CC(*)(F)F,,15,29.2,PVP,40000,1,sulfonated-GO,0.8,NMP,22.9,1,BSA,500,66000,BSA,500,750,98,17.2,88.7,71.5,11.3
Polyvinylidene fluoride,*CC(*)(F)F,,15,29.2,PVP,40000,1,sulfonated-GO,1.2,NMP,22.9,1,BSA,500,66000,BSA,500,700,98.8,14.02,82.02,68,17.98
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,14,46.6,PVP,40000,6,TiO2-SO3H NTs,0,NMP,22.9,1,BSA,100,66000,BSA,100,138,82.5,43,48,5,52
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,14,46.6,PVP,40000,6,TiO2-SO3H NTs,1,NMP,22.9,1,BSA,100,66000,BSA,100,209,88.5,45,60,15,40
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,14,46.6,PVP,40000,6,TiO2-SO3H NTs,3,NMP,22.9,1,BSA,100,66000,BSA,100,235,92,40.6,65.6,25,34.4
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,14,46.6,PVP,40000,6,TiO2-SO3H NTs,5,NMP,22.9,1,BSA,100,66000,BSA,100,190,96,44.5,77,32.5,23
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,14,46.6,PVP,40000,6,TiO2-SO3H NTs,0,NMP,22.9,1,HA,100,,HA,100,138,76.3,42.6,50.6,8,49.4
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,14,46.6,PVP,40000,6,TiO2-SO3H NTs,1,NMP,22.9,1,HA,100,,HA,100,209,85,52.4,69.4,17,30.6
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,14,46.6,PVP,40000,6,TiO2-SO3H NTs,3,NMP,22.9,1,HA,100,,HA,100,235,88,56.3,78.8,22.5,21.2
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,14,46.6,PVP,40000,6,TiO2-SO3H NTs,5,NMP,22.9,1,HA,100,,HA,100,190,89,62,90,28,10
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,,18,42,PEG,400,10,mesoporous SiO2 NPs,0,NMP,24.8,2,BSA,1000,66000,BSA,1000,60,96,25.2,45.2,20,54.8
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,,18,42,PEG,400,10,mesoporous SiO2 NPs,1,NMP,24.8,2,BSA,1000,66000,BSA,1000,72.5,96.8,36,60,24,40
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,,18,42,PEG,400,10,mesoporous SiO2 NPs,2,NMP,24.8,2,BSA,1000,66000,BSA,1000,90.1,96.1,41.2,76.2,35,23.8
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,,18,42,PEG,400,10,mesoporous SiO2 NPs,4,NMP,24.8,2,BSA,1000,66000,BSA,1000,67.5,97.2,35.3,50.3,15,49.7
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,17,42,PVP,,1,CQDs,0,NMP,22.7,1,BSA,1000,67000,BSA,1000,180,99.5,24,72,48,28
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,17,42,PVP,,1,CQDs,0.5,NMP,22.7,1,BSA,1000,67000,BSA,1000,370,99,44,90,46,10
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,,18,42,PEG,1000,7,none,0,NMP,22.7,1.5,HA,500,,HA,500,183.3,94,24,69,45,31
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,,15,42,PEG,1000,7,SPSF-DS10,0,NMP,22.7,1.5,HA,500,,HA,500,433.3,91.2,20,72,52,28
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,,15,42,PEG,1000,7,SPSF-DS30,0,NMP,22.7,1.5,HA,500,,HA,500,350,93,33,79,46,21
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,,15,42,PEG,1000,7,SPSF-DS50,0,NMP,22.7,1.5,HA,500,,HA,500,380,81.5,34,82,48,18
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,1.5,Fe2O3-Mn2O3 NPs,0,NMP,22.9,1,BSA,500,66000,BSA,500,200,97,24,40,64,60
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,1.5,Fe2O3-Mn2O3 NPs,0.1,NMP,22.9,1,BSA,500,66000,BSA,500,312,96,29.5,42.5,72,57.5
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,1.5,Fe2O3-Mn2O3 NPs,0.25,NMP,22.9,1,BSA,500,66000,BSA,500,398,96,30,47,77,53
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,1.5,Fe2O3-Mn2O3 NPs,0.5,NMP,22.9,1,BSA,500,66000,BSA,500,337,96,17.5,45,62.5,55
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,1.5,Fe2O3-Mn2O3 NPs,1,NMP,22.9,1,BSA,500,66000,BSA,500,285,96,17,43,60,57
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,15,,PVP,30000,0,TiO2 NPs-3,1.5,NMP,22.9,3.45,HA,500,,BSA,1000,29,97.53,22.3,49.1,26.8,50.9
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,12.5,,PVP,30000,2.5,TiO2 NPs-3,1.5,NMP,22.9,3.45,HA,500,,BSA,1000,54.3,97.12,21.6,77.1,55.5,22.9
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,10,,PVP,30000,5,TiO2 NPs-3,1.5,NMP,22.9,3.45,HA,500,,BSA,1000,90.7,95.5,16.5,83.1,66.6,16.9
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,7.5,,PVP,30000,7.5,TiO2 NPs-3,1.5,NMP,22.9,3.45,HA,500,,BSA,1000,75.4,98.71,17.5,82.3,64.8,17.7
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,5,,PVP,30000,10,TiO2 NPs-3,1.5,NMP,22.9,3.45,HA,500,,BSA,1000,68.8,99.59,22.8,74.5,51.7,25.5
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,15,,PVP,30000,0,TiO2 NPs-3,1.5,NMP,22.9,3.45,Safranin O,50,350.84,BSA,1000,29,89.42,22.3,49.1,26.8,50.9
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,12.5,,PVP,30000,2.5,TiO2 NPs-3,1.5,NMP,22.9,3.45,Safranin O,50,350.84,BSA,1000,54.3,86.78,21.6,77.1,55.5,22.9
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,10,,PVP,30000,5,TiO2 NPs-3,1.5,NMP,22.9,3.45,Safranin O,50,350.84,BSA,1000,90.7,85.32,16.5,83.1,66.6,16.9
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,7.5,,PVP,30000,7.5,TiO2 NPs-3,1.5,NMP,22.9,3.45,Safranin O,50,350.84,BSA,1000,75.4,90.71,17.5,82.3,64.8,17.7
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,5,,PVP,30000,10,TiO2 NPs-3,1.5,NMP,22.9,3.45,Safranin O,50,350.84,BSA,1000,68.8,94.59,22.8,74.5,51.7,25.5
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,15,,PVP,30000,0,TiO2 NPs-3,1.5,NMP,22.9,3.45,Pepsin,1000,35000,BSA,1000,29,95,22.3,49.1,26.8,50.9
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,12.5,,PVP,30000,2.5,TiO2 NPs-3,1.5,NMP,22.9,3.45,Pepsin,1000,35000,BSA,1000,54.3,86,21.6,77.1,55.5,22.9
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,10,,PVP,30000,5,TiO2 NPs-3,1.5,NMP,22.9,3.45,Pepsin,1000,35000,BSA,1000,90.7,81.5,16.5,83.1,66.6,16.9
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,7.5,,PVP,30000,7.5,TiO2 NPs-3,1.5,NMP,22.9,3.45,Pepsin,1000,35000,BSA,1000,75.4,80,17.5,82.3,64.8,17.7
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,5,,PVP,30000,10,TiO2 NPs-3,1.5,NMP,22.9,3.45,Pepsin,1000,35000,BSA,1000,68.8,81,22.8,74.5,51.7,25.5
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,15,,PVP,30000,0,TiO2 NPs-3,1.5,NMP,22.9,3.45,Trypsin,1000,20000,BSA,1000,29,93.75,22.3,49.1,26.8,50.9
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,12.5,,PVP,30000,2.5,TiO2 NPs-3,1.5,NMP,22.9,3.45,Trypsin,1000,20000,BSA,1000,54.3,87,21.6,77.1,55.5,22.9
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,10,,PVP,30000,5,TiO2 NPs-3,1.5,NMP,22.9,3.45,Trypsin,1000,20000,BSA,1000,90.7,73,16.5,83.1,66.6,16.9
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,7.5,,PVP,30000,7.5,TiO2 NPs-3,1.5,NMP,22.9,3.45,Trypsin,1000,20000,BSA,1000,75.4,74,17.5,82.3,64.8,17.7
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,5,,PVP,30000,10,TiO2 NPs-3,1.5,NMP,22.9,3.45,Trypsin,1000,20000,BSA,1000,68.8,75,22.8,74.5,51.7,25.5
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,15,,PVP,30000,0,TiO2 NPs-3,1.5,NMP,22.9,3.45,Egg albumin ,1000,30000,BSA,1000,29,95.5,22.3,49.1,26.8,50.9
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,12.5,,PVP,30000,2.5,TiO2 NPs-3,1.5,NMP,22.9,3.45,Egg albumin ,1000,30000,BSA,1000,54.3,92,21.6,77.1,55.5,22.9
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,10,,PVP,30000,5,TiO2 NPs-3,1.5,NMP,22.9,3.45,Egg albumin ,1000,30000,BSA,1000,90.7,85,16.5,83.1,66.6,16.9
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,7.5,,PVP,30000,7.5,TiO2 NPs-3,1.5,NMP,22.9,3.45,Egg albumin ,1000,30000,BSA,1000,75.4,85.5,17.5,82.3,64.8,17.7
Poly(ether ether sulfone),*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,35000,5,,PVP,30000,10,TiO2 NPs-3,1.5,NMP,22.9,3.45,Egg albumin ,1000,30000,BSA,1000,68.8,86.2,22.8,74.5,51.7,25.5
Polyvinyl chloride,*CC(*)Cl,48000,14,40,PVP,,1,HNTs,0,NMP,22.7,1.96,BSA,1000,67000,BSA,1000,65,75,59.09,77.23,18.14,22.77
Polyvinyl chloride,*CC(*)Cl,48000,14,40,PVP,,1,HNTs,1,NMP,22.7,1.96,BSA,1000,67000,BSA,1000,81.2,90,66.67,83.33,16.66,16.67
Polyvinyl chloride,*CC(*)Cl,48000,14,40,PVP,,1,HNTs,3,NMP,22.7,1.96,BSA,1000,67000,BSA,1000,83.9,99,66.67,86.66,19.99,13.34
Polyvinyl chloride,*CC(*)Cl,48000,14,40,PVP,,1,CeO2-HNTs,0,NMP,22.7,1.96,HA,100,,HA,100,65,74.45,67.84,68.19,0.35,31.81
Polyvinyl chloride,*CC(*)Cl,48000,14,40,PVP,,1,CeO2-HNTs,1,NMP,22.7,1.96,HA,100,,HA,100,81.6,92.5,80.39,87.97,7.58,12.03
Polyvinyl chloride,*CC(*)Cl,48000,14,40,PVP,,1,CeO2-HNTs,3,NMP,22.7,1.96,HA,100,,HA,100,76.2,98.5,75.18,76.3,1.12,23.7
Polyvinylidene fluoride,*CC(*)(F)F,,18,29.2,PVP,,6,TiO2 NPs-4,0,NMP,22.7,1.5,BSA,1000,67000,BSA,1000,66.7,86.2,5.8,76.3,70.5,23.7
Polyvinylidene fluoride,*CC(*)(F)F,,18,29.2,PVP,,6,TiO2 NPs-4,3,NMP,22.7,1.5,BSA,1000,67000,BSA,1000,175,68.75,28,84.5,56.5,15.5
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,25000,4,amine-MWCNTs,0,NMP,22.7,3,BSA,500,66000,BSA,500,41.7,81,6.5,27,20.5,73
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,25000,4,amine-MWCNTs,0.05,NMP,22.7,3,BSA,500,66000,BSA,500,23.3,82.5,24.7,46,21.3,54
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,25000,4,amine-MWCNTs,0.5,NMP,22.7,3,BSA,500,66000,BSA,500,50,87,13.1,48,34.9,52
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,25000,4,amine-MWCNTs,1,NMP,22.7,3,BSA,500,66000,BSA,500,63.3,86.5,10.1,46,35.9,54
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,25000,4,amine-MWCNTs,2,NMP,22.7,3,BSA,500,66000,BSA,500,26.7,88,17.9,39,21.1,61
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,20,42,PVP,25000,1,PAA-g-MWCNT-TiO2,0.1,NMP,22.7,1,BSA,100,67000,BSA,1000,30,94.3,40,75,35,25
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,20,42,PVP,25000,1,PAA-g-MWCNT-TiO2,0.5,NMP,22.7,1,BSA,100,67000,BSA,1000,85,95,60,80,20,20
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,20,42,PVP,25000,1,PAA-g-MWCNT-TiO2,1,NMP,22.7,1,BSA,100,67000,BSA,1000,123.6,96.2,67.5,85,17.5,15
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,20,42,PVP,25000,1,PAA-g-MWCNT-TiO2,2,NMP,22.7,1,BSA,100,67000,BSA,1000,105,95.5,65,77.5,12.5,22.5
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,none,0,NMP,22.9,2,BSA,500,66000,BSA,500,106.6,90.2,30,69.3,39.3,30.7
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,ZnO NPs,0.3,NMP,22.9,2,BSA,500,66000,BSA,500,115.8,92.4,30.22,77.1,46.88,22.9
